"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"29789099999","2021-01-01T02:00:00","54.2166666","96.9666666","984.0","VERHNJAJA GUTARA, RS","FM-12","4","","-8","-6","","","-0.01","2","90","OVC:08","30.68","26.89","2.49","-6","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06029789 41996 80000 11210 21222 39107 40389 52002 77172 8802/=","","","","","","","","","",""
"29789099999","2021-01-01T05:00:00","54.2166666","96.9666666","984.0","VERHNJAJA GUTARA, RS","FM-12","4","","-9","-7","","","-0.02","2","90","OVC:08","30.71","26.91","2.49","-7","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06029789 41996 80000 11214 21226 39114 40398 52007 77172 8802/=","","","","","","","","","",""
"29789099999","2021-01-01T08:00:00","54.2166666","96.9666666","984.0","VERHNJAJA GUTARA, RS","FM-12","4","","-11","-9","","","-0.01","2","94","OVC:08","30.75","","2.49","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08829789 11996 80000 11230 21237 30118 40413 52004 60012 77172 8802/ 333 21230 47002 55000=","","","","","","","","","",""
"29789099999","2021-01-01T11:00:00","54.2166666","96.9666666","984.0","VERHNJAJA GUTARA, RS","FM-12","4","","-15","-14","","","-0.04","2","95","","30.83","26.96","12.43","-14","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07029789 41998 80000 11255 21261 39131 40440 52013 71572 80007 333 21255=","","","","","","","","","",""
"29789099999","2021-01-01T14:00:00","54.2166666","96.9666666","984.0","VERHNJAJA GUTARA, RS","FM-12","4","","-5","-3","","","0.00","4","90","","30.73","26.96","6.21","-3","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06029789 41997 80000 11195 21207 39131 40408 54000 77172 80007=","","","","","","","","","",""
"29789099999","2021-01-01T17:00:00","54.2166666","96.9666666","984.0","VERHNJAJA GUTARA, RS","FM-12","4","","-7","-5","","","-0.02","3","90","FEW:02 41","30.78","26.98","6.21","-5","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06029789 41697 80000 11206 21218 39138 40422 53007 71572 82537=","","","","","","","","","",""
"29789099999","2021-01-01T20:00:00","54.2166666","96.9666666","984.0","VERHNJAJA GUTARA, RS","FM-12","4","","-17","-15","","","-0.04","2","90","FEW:02","30.90","27.02","31.07","-15","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07029789 12999 80000 11259 21271 39151 40465 52013 69922 82031 333 11188=","","","","","","","","","",""
"29789099999","2021-01-01T23:00:00","54.2166666","96.9666666","984.0","VERHNJAJA GUTARA, RS","FM-12","4","","-25","-23","","","-0.02","2","90","","31.01","27.04","31.07","-23","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN05429789 42999 60000 11304 21315 39158 40500 52007 80001=","","","","","","","","","",""
"29789099999","2021-01-02T02:00:00","54.2166666","96.9666666","984.0","VERHNJAJA GUTARA, RS","FM-12","4","","-30","-28","","","-0.01","2","90","","31.07","27.05","31.07","-28","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN05429789 42999 30000 11331 21342 39161 40520 52003 80001=","","","","","","","","","",""
"29789099999","2021-01-02T05:00:00","54.2166666","96.9666666","984.0","VERHNJAJA GUTARA, RS","FM-12","4","","-33","-31","","","-0.02","2","90","","31.12","27.08","31.07","-31","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN04829789 42999 00000 11349 21359 39169 40540 52008=","","","","","","","","","",""
