"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"17188099999","2021-01-01T00:00:00","38.6833333","29.4","919.0","USAK, TU","FM-12","4","","33","33","","","-0.01","2","99","FEW:02 39","30.11","27.08","12.43","33","080","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07017185 42670 20803 10008 20006 39172 40196 52004 82500 333 82640 91105=","","","","","","","","","",""
"17188099999","2021-01-01T03:00:00","38.6833333","29.4","919.0","USAK, TU","FM-12","4","","36","37","","","0.00","9","97","SCT:03 36","30.09","27.09","12.43","37","010","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07617185 12670 30101 10027 20023 39173 40189 50001 60001 83500 333 83637 91105=","","","","","","","","","",""
"17188099999","2021-01-01T06:00:00","38.6833333","29.4","919.0","USAK, TU","FM-12","4","","37","41","","","0.00","4","85","BKN:05 36","30.13","27.08","12.43","39","030","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06417185 42670 50302 10052 20029 39172 40202 54000 85500 333 85637=","","","","","","","","","",""
"17188099999","2021-01-01T07:50:00","38.6833333","29.4","919.0","USAK, TU","FM-15","4","30.06","36","36","","","","","100","BKN:07 37","","","6.21","","VRB","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET077METAR LTBO 010450Z VRB02KT 9999 BKN037 02/02 Q1018 RMK RWY09 31003KT 200V340=","","","","","","","","","",""
"17188099999","2021-01-01T08:50:00","38.6833333","29.4","919.0","USAK, TU","FM-15","4","30.06","32","34","","","","","93","SCT:04 37","","","6.21","","VRB","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET069METAR LTBO 010550Z VRB02KT 9999 SCT037 01/00 Q1018 RMK RWY09 VRB02KT=","","","","","","","","","",""
"17188099999","2021-01-01T09:00:00","38.6833333","29.4","919.0","USAK, TU","FM-12","4","","32","34","","","-0.02","2","94","SCT:04 36","30.17","27.10","12.43","33","140","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"17188099999","2021-01-01T09:50:00","38.6833333","29.4","919.0","USAK, TU","FM-15","4","30.09","37","39","","","","","93","","","","6.15","","VRB","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET063METAR LTBO 010650Z VRB02KT CAVOK 04/03 Q1019 RMK RWY09 VRB02KT=","","","","","","","","","",""
"17188099999","2021-01-01T10:50:00","38.6833333","29.4","919.0","USAK, TU","FM-15","4","30.09","39","48","","","","","71","","","","6.15","","VRB","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET070METAR LTBO 010750Z VRB02KT CAVOK 09/04 Q1019 REFCDS RMK RWY09 VRB02KT=","","","","","","","","","",""
"17188099999","2021-01-01T11:50:00","38.6833333","29.4","919.0","USAK, TU","FM-15","4","30.09","39","50","","","","","67","SCT:04 40 BKN:07 100","","","6.21","","VRB","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET076METAR LTBO 010850Z VRB01KT 9999 SCT040 BKN100 10/04 Q1019 RMK RWY09 VRB02KT=","","","","","","","","","",""
"17188099999","2021-01-01T12:00:00","38.6833333","29.4","919.0","USAK, TU","FM-12","4","","40","50","","","-0.01","0","68","SCT:03 39 BKN:06 98","30.14","27.12","12.43","45","330","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
