"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"35437099999","2021-01-01T02:00:00","48.817","58.217","230.0","EMBA, KZ","FM-12","4","","14","16","","","+0.00","8","92","OVC:08 26","30.67","29.70","","15","150","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06035437 415// 81501 11089 21100 30056 40387 58001 71022 886//=","","","","","","","","","",""
"35437099999","2021-01-01T05:00:00","48.817","58.217","230.0","EMBA, KZ","FM-12","4","","12","15","","","-0.01","2","88","OVC:08 26","30.69","29.71","","14","160","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06435437 425// 81601 11097 21113 30060 40392 52004 886// 555 1/111=","","","","","","","","","",""
"35437099999","2021-01-01T08:00:00","48.817","58.217","230.0","EMBA, KZ","FM-12","4","","13","15","","||FG","-0.01","2","91","","30.70","29.72","","14","340","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08635437 31/// 93401 11094 21106 30064 40396 52004 74942 333 47005 55000 555 21101 7000/=","","","","","","","","","",""
"35437099999","2021-01-01T11:00:00","48.817","58.217","230.0","EMBA, KZ","FM-12","4","","13","14","","||FG","-0.03","2","94","","30.73","29.75","0.12","14","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06435437 31/92 90000 11098 21106 30073 40406 52009 74942 333 21101=","","","","","","","","","",""
"35437099999","2021-01-01T14:00:00","48.817","58.217","230.0","EMBA, KZ","FM-12","4","","15","17","","","-0.00","1","93","OVC:08","30.73","29.75","12.43","16","180","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06035437 41998 81801 11083 21093 30074 40405 51001 70242 8807/=","","","","","","","","","",""
"35437099999","2021-01-01T17:00:00","48.817","58.217","230.0","EMBA, KZ","FM-12","4","","12","15","","","-0.01","2","88","FEW:02","30.74","29.76","12.43","14","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07035437 41998 70000 11093 21109 30077 40409 52003 70242 82044 555 1/110=","","","","","","","","","",""
"35437099999","2021-01-01T20:00:00","48.817","58.217","230.0","EMBA, KZ","FM-12","4","","4","6","","","-0.00","2","93","","30.76","29.76","","6","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06435437 329// 30000 11144 21153 30078 40417 52001 80004 333 11071=","","","","","","","","","",""
"35437099999","2021-01-01T23:00:00","48.817","58.217","230.0","EMBA, KZ","FM-12","4","","7","9","","","-0.01","2","90","","30.76","29.77","","9","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06435437 329// 30000 11126 21139 30081 40418 52003 80004 333 11071=","","","","","","","","","",""
"35437099999","2021-01-02T02:00:00","48.817","58.217","230.0","EMBA, KZ","FM-12","4","","8","10","","","+0.01","8","90","SCT:03","30.75","29.76","","10","080","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN09235437 319// 70803 11123 21136 30077 40413 58005 71022 83044 333 47005 55000 555 21152 7000/=","","","","","","","","","",""
"35437099999","2021-01-02T05:00:00","48.817","58.217","230.0","EMBA, KZ","FM-12","4","","7","10","","","-0.02","3","87","SCT:04","30.76","29.77","","9","070","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07035437 419// 70703 11122 21139 30082 40418 53006 71011 84053 555 1/114=","","","","","","","","","",""
