"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"60415099999","2021-01-01T07:00:00","36.2833333","3.6666666","752.0","AIN BESSAM, AG","FM-12","4","","31","38","","","+0.05","8","78","FEW:02 98","","27.33","9.32","35","220","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN09460415 11965 22210 10033 21003 39255 48439 58016 60004 700// 82040 333 05200 20026 82360 95900=","","","","","","","","","",""
"60415099999","2021-01-01T13:00:00","36.2833333","3.6666666","752.0","AIN BESSAM, AG","FM-12","4","","37","47","","","+0.07","7","69","SCT:03 32 SCT:03 39","","27.23","12.43","42","240","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08860415 12670 72420 10084 20029 39222 48413 57023 60001 8684/ 333 0//00 83833 83640 95900=","","","","","","","","","",""
"60415099999","2021-01-01T19:00:00","36.2833333","3.6666666","752.0","AIN BESSAM, AG","FM-12","4","","34","40","","","0.02","9","80","SCT:04 30 BKN:05 32","","27.24","9.32","37","280","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN09460415 11565 72813 10042 20010 39224 48410 50008 69902 70262 878// 333 10091 84830 85633 95900=","","","","","","","","","",""
"60415099999","2021-01-02T07:00:00","36.2833333","3.6666666","752.0","AIN BESSAM, AG","FM-12","4","","32","35","","","+0.00","5","89","FEW:02 32","","27.31","12.43","34","280","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN09460415 11670 62809 10019 20002 39247 48428 55001 69964 700// 84830 333 05115 20017 82833 95900=","","","","","","","","","",""
"60415099999","2021-01-02T13:00:00","36.2833333","3.6666666","752.0","AIN BESSAM, AG","FM-12","4","","36","43","","","+0.03","8","77","SCT:03 30 FEW:01 32","","27.30","12.43","40","300","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08860415 12570 73004 10061 20024 39244 48429 58010 60001 86932 333 0//00 83830 81933 95900=","","","","","","","","","",""
"60415099999","2021-01-02T19:00:00","36.2833333","3.6666666","752.0","AIN BESSAM, AG","FM-12","4","","31","33","","","-0.04","1","93","SCT:03 30 FEW:01 32","","27.32","6.21","32","280","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN09460415 11560 62804 10006 21004 39250 48426 51012 60052 72276 86900 333 10080 83830 81933 95900=","","","","","","","","","",""
"60415099999","2021-01-03T07:00:00","36.2833333","3.6666666","752.0","AIN BESSAM, AG","FM-12","4","","27","33","","","-0.01","3","81","SCT:03 30 SCT:03 98","","27.35","6.21","31","280","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN10660415 11560 62810 10003 21026 39261 48434 53005 60054 700// 83240 333 05219 21008 45001 83830 83360 95900=","","","","","","","","","",""
"60415099999","2021-01-03T13:00:00","36.2833333","3.6666666","752.0","AIN BESSAM, AG","FM-12","4","","34","40","","","+0.00","8","79","SCT:03 30 FEW:01 32 SCT:03 39","","27.39","9.32","37","280","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN10060415 11565 62817 10046 20012 39275 48451 58001 69931 70172 86900 333 0//55 83830 81933 83640 95900=","","","","","","","","","",""
"60415099999","2021-01-03T19:00:00","36.2833333","3.6666666","752.0","AIN BESSAM, AG","FM-12","4","","32","38","","","-0.03","2","80","SCT:04 30","","27.42","9.32","35","280","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08260415 12565 62808 10031 20000 39285 48457 52010 69932 86800 333 10063 84830 95900=","","","","","","","","","",""
"60415099999","2021-01-04T07:00:00","36.2833333","3.6666666","752.0","AIN BESSAM, AG","FM-12","4","","28","34","","","+0.01","6","79","","","27.43","12.43","32","240","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08860415 11970 02403 10013 21020 39289 48462 56002 69934 700// 333 05300 20013 40997 95900=","","","","","","","","","",""
