"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"40573599999","2021-03-05T03:56:00","28.934764","47.791864","124.66","AHMED AL JABER AB, KU","FM-15","4","29.91","32","63","","","","","32","BKN:07 130","29.93","","6.21","","320","25","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET065METAR OKAJ 050056Z 32016G22KT 9999 BKN130 17/00 A2991 RMK SLP135=","","","","","","","","","",""
"40573599999","2021-03-14T05:56:00","28.934764","47.791864","124.66","AHMED AL JABER AB, KU","FM-15","4","30.02","18","48","","","","","29","","30.00","","6.21","","260","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET065METAR OKAJ 140256Z 26005KT 9999 CLR 09/M08 A3002 RMK AO2A SLP158=","","","","","","","","","",""
"40573599999","2021-03-14T06:56:00","28.934764","47.791864","124.66","AHMED AL JABER AB, KU","FM-15","4","30.01","18","50","","","","","28","","30.01","","6.21","","270","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET065METAR OKAJ 140356Z 27005KT 9999 CLR 10/M08 A3001 RMK AO2A SLP162=","","","","","","","","","",""
"40573599999","2021-04-15T08:56:00","28.934764","47.791864","124.66","AHMED AL JABER AB, KU","FM-15","4","30.02","27","75","","","","","16","","30.01","","6.21","","350","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET065METAR OKAJ 150556Z 35017KT 9999 CLR 24/M03 A3002 RMK AO2A SLP162=","","","","","","","","","",""
"40573599999","2021-04-15T09:56:00","28.934764","47.791864","124.66","AHMED AL JABER AB, KU","FM-15","4","30.01","25","79","","","","","13","","30.00","","6.21","","350","26","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET068METAR OKAJ 150656Z 35019G23KT 9999 CLR 26/M04 A3001 RMK AO2A SLP159=","","","","","","","","","",""
"40573599999","2021-04-15T10:56:00","28.934764","47.791864","124.66","AHMED AL JABER AB, KU","FM-15","4","30.00","23","82","","","","","11","","29.99","","6.21","","340","25","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET068METAR OKAJ 150756Z 34011G22KT 9999 CLR 28/M05 A3000 RMK AO2A SLP155=","","","","","","","","","",""
"40573599999","2021-04-15T11:56:00","28.934764","47.791864","124.66","AHMED AL JABER AB, KU","FM-15","4","29.99","21","86","","","+0.04","7","9","","29.98","","6.21","","350","22","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET074METAR OKAJ 150856Z 35016G19KT 9999 CLR 30/M06 A2999 RMK AO2A SLP152 57012=","","","","","","","","","",""
"40573599999","2021-04-15T12:56:00","28.934764","47.791864","124.66","AHMED AL JABER AB, KU","FM-15","4","29.96","21","86","","","","","9","","29.95","","6.21","","340","26","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET068METAR OKAJ 150956Z 34015G23KT 9999 CLR 30/M06 A2996 RMK AO2A SLP142=","","","","","","","","","",""
"40573599999","2021-09-09T15:58:00","28.934764","47.791864","124.66","AHMED AL JABER AB, KU","FM-15","4","","37","108","","","","","9","","29.59","","7.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET096METAR OKAJ 091258Z 091258Z AUTO 30022KT 9999 CLR 42/03 A2962 RMK AO2 PK WND 29026/1317 SLP022 $=","","","","","","","","","",""
