"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"08917099999","2021-12-24T09:00:00","42.7666666","-0.3833333","1855.0","SALLENT DE GALLEGO FURCO, SP","FM-12","4","","","39","","||FG","","","","VV:09","","","","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN15208917 21/// 90000 10040 29095 74500 89/// 90750 333 10060 20020 4/030 70000 90768 93100 555 7//// 8//// 10000 503/0 00000 00002 20000 15000 463// 5////=","","","","","","","","","",""
"08917099999","2021-12-25T09:00:00","42.7666666","-0.3833333","1855.0","SALLENT DE GALLEGO FURCO, SP","FM-12","4","","","32","","","","","","OVC:08 15","","","","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN15208917 214// 80000 10000 29094 77166 885// 90752 333 10040 20000 4/027 70045 90768 93100 555 70180 8//// 10000 20000 00100 01002 20000 15303 426// 51380=","","","","","","","","","",""
"08917099999","2021-12-26T09:00:00","42.7666666","-0.3833333","1855.0","SALLENT DE GALLEGO FURCO, SP","FM-12","4","","","34","","","","","","SCT:03 57","","","","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN15208917 217// 40000 10010 29075 70077 83512 90801 333 10030 20000 4/027 70040 90768 931// 555 72170 8//// 11015 60000 00100 01002 20000 15502 426// 51380=","","","","","","","","","",""
"08917099999","2021-12-27T09:00:00","42.7666666","-0.3833333","1855.0","SALLENT DE GALLEGO FURCO, SP","FM-12","4","","","36","","||RA","","","","BKN:07 26","","","","","310","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN15208917 215// 73105 10020 29095 76160 87520 90821 333 10050 20005 4/025 70100 90768 93100 555 71220 8//// 10000 60000 00100 01002 23106 15000 466// 51400=","","","","","","","","","",""
"08917099999","2021-12-28T09:00:00","42.7666666","-0.3833333","1855.0","SALLENT DE GALLEGO FURCO, SP","FM-12","4","","","41","","||RA","","","","OVC:08 74","","","","","040","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN15208917 218// 80402 10050 29080 76166 8801/ 90856 333 10070 20040 4/020 70080 90768 93100 555 70220 8//// 10000 50300 11251 00002 20405 14500 46600 5////=","","","","","","","","","",""
"08917099999","2021-12-29T09:00:00","42.7666666","-0.3833333","1855.0","SALLENT DE GALLEGO FURCO, SP","FM-12","4","","","41","","","","","","BKN:07 15","","","","","310","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN15208917 214// 73102 10050 29080 70066 87620 90838 333 10070 20000 4/015 70045 90768 93100 555 71230 8//// 10000 50000 11932 01002 23103 14200 466// 5////=","","","","","","","","","",""
"08917099999","2021-12-30T09:00:00","42.7666666","-0.3833333","1855.0","SALLENT DE GALLEGO FURCO, SP","FM-12","4","","","50","","","","","","74","","","","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN15208917 218// 30000 10100 29018 70000 80007 90814 333 10100 20050 4/013 70000 90768 93100 555 7//// 8//// 11018 80000 00100 01002 20000 14000 47601 5////=","","","","","","","","","",""
"08917099999","2021-12-31T09:00:00","42.7666666","-0.3833333","1855.0","SALLENT DE GALLEGO FURCO, SP","FM-12","4","","","52","","","","","","","","","","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN15208917 219// 10000 10110 29017 70000 80002 90839 333 10160 20095 4/011 70000 90768 93100 555 7//// 8//// 11013 80000 00100 01002 20000 14000 47601 5////=","","","","","","","","","",""
