"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"98434099999","2021-01-01T02:00:00","14.75","121.65","7.0","INFANTA, RP","FM-12","4","","73","73","","||RA","+0.04","8","99","SCT:04 17 OVC:08 69","29.96","29.93","6.21","73","020","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08898434 11460 80203 10230 20228 30137 40145 58015 60101 76366 8427/ 333 56199 84817 88357=","","","","","","","","","",""
"98434099999","2021-01-01T05:00:00","14.75","121.65","7.0","INFANTA, RP","FM-12","4","","72","73","","","-0.01","3","98","SCT:03 17 OVC:08 79","29.97","29.94","6.21","72","360","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08898434 21460 83603 10228 20224 30140 40148 53003 71562 8327/ 333 56199 60037 83817 88358=","","","","","","","","","",""
"98434099999","2021-01-01T08:00:00","14.75","121.65","7.0","INFANTA, RP","FM-12","4","","75","76","","||RA","-0.04","2","97","SCT:04 17 OVC:08 69","30.00","29.98","6.21","75","340","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN12898434 11460 83403 10243 20238 30152 40160 52012 60194 76062 8452/ 333 20218 55000 56190 58012 70187 84617 88457 555 20060 67848=","","","","","","","","","",""
"98434099999","2021-01-01T11:00:00","14.75","121.65","7.0","INFANTA, RP","FM-12","4","","73","75","","||RA","+0.01","8","92","SCT:04 17 OVC:08 69","29.99","29.97","6.21","74","360","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN10698434 21460 83603 10240 20226 30148 40156 58004 76062 8452/ 333 56190 60037 84617 88457 90402 91108 91504=","","","","","","","","","",""
"98434099999","2021-01-01T14:00:00","14.75","121.65","7.0","INFANTA, RP","FM-12","4","","73","75","","","+0.06","7","94","SCT:04 17 OVC:08 69","29.94","29.91","7.46","74","360","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN10698434 11462 83603 10240 20229 30127 40138 57021 60041 71662 8427/ 333 56190 84817 88357 90402 91110 91504=","","","","","","","","","",""
"98434099999","2021-01-01T17:00:00","14.75","121.65","7.0","INFANTA, RP","FM-12","4","","73","75","","","+0.01","6","92","SCT:03 17 OVC:08 69","29.91","29.89","7.46","74","040","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN10698434 21462 80404 10240 20226 30122 40130 56005 71662 83270 333 56190 60027 83817 88357 90402 91110 91504=","","","","","","","","","",""
"98434099999","2021-01-01T20:00:00","14.75","121.65","7.0","INFANTA, RP","FM-12","4","","73","75","","||RA","-0.06","3","94","SCT:04 17 OVC:08 69","29.98","29.95","6.21","74","040","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN10098434 11460 80403 10238 20227 30143 40151 53021 60021 76062 8452/ 333 10262 56190 59003 84617 88457=","","","","","","","","","",""
"98434099999","2021-01-01T23:00:00","14.75","121.65","7.0","INFANTA, RP","FM-12","4","","73","74","","","+0.01","8","95","SCT:03 17 OVC:08 69","29.97","29.95","7.46","73","360","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08898434 21462 83602 10235 20227 30141 40149 58002 71662 8327/ 333 56190 60017 83817 88357=","","","","","","","","","",""
"98434099999","2021-01-02T02:00:00","14.75","121.65","7.0","INFANTA, RP","FM-12","4","","73","74","","","+0.03","7","95","SCT:03 46 OVC:08 69","29.94","29.92","6.21","73","360","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08898434 11460 83603 10234 20226 30131 40139 57010 60031 71662 8327/ 333 56190 83847 88357=","","","","","","","","","",""
"98434099999","2021-01-02T05:00:00","14.75","121.65","7.0","INFANTA, RP","FM-12","4","","72","74","","","+0.03","6","94","SCT:03 17 OVC:08 69","29.91","29.88","6.21","73","360","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN10698434 21460 83604 10234 20224 30120 40128 56011 71662 83270 333 56190 69957 83817 88357 90405 91110 91504=","","","","","","","","","",""
